"Name","Runtime","algo","env","task_env","observation_space","observation_space_mode","global_step","rollout/ep_rew_mean"
"CARTESIAN_PD_test_with_psi_limited_123122210204","13018","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x00000178FCF63880>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01], (38,), float32)","LR_COURSE_OBS","1002050","35.29347610473633"
"CARTESIAN_PD_test_with_psi_limited_123122210132","14753","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x00000259C47FDFD0>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01], (38,), float32)","LR_COURSE_OBS","999200","1.7165168523788452"
"CPG_SAC_122822133729","12936","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000002298E26D700>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -9.53 -9.53 -9.53 -9.53], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01 3.01 3.01 3.01 3.01 155 155 155 155 6.39 6.39 6.39 6.39 28.4 28.4 28.4 28.4 6.39 6.39 6.39 6.39 9.53 9.53 9.53 9.53], (62,), float32)","CPG_RL","999890","0.03770621865987778"
"CARTESIAN_PD_SAC_122822132846","9424","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000002CA984B94F0>","FWD_LOCOMOTION","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","999960","0.008434769697487354"
"PD_SAC_122822132834","5952","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x00000279E0BF94F0>","FWD_LOCOMOTION","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","999800","0.0008830300066620111"
"PD_SAC_CPG_122822132803","13","","","FWD_LOCOMOTION","","LR_COURSE_OBS","",""
"CPG_SAC_CPG_122822002521","13548","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x0000026416FF94F0>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01], (28,), float32)","DEFAULT","999750","0.005219050217419863"
"PD_SAC_joint_122822002437","5637","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x00000250455894F0>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01], (28,), float32)","DEFAULT","999500","0.08734084665775299"
"CARTESIAN_PDSAC_cartesian122822002334","9006","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001DEE43694F0>","FWD_LOCOMOTION","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01], (28,), float32)","DEFAULT","999610","0.06643310934305191"
"CPG_test_with_psi_limited_122122232452","14810","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x00000186E8F938B0>","TEST","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -9.53 -9.53 -9.53 -9.53], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01 3.01 3.01 3.01 3.01 155 155 155 155 6.39 6.39 6.39 6.39 28.4 28.4 28.4 28.4 6.39 6.39 6.39 6.39 9.53 9.53 9.53 9.53], (62,), float32)","CPG_RL","999850","17.419536590576172"
"CPG_test_with_psi_limited_122122142414","15089","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001FF0E8238B0>","TEST","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -9.53 -9.53 -9.53 -9.53], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01 3.01 3.01 3.01 3.01 155 155 155 155 6.39 6.39 6.39 6.39 28.4 28.4 28.4 28.4 6.39 6.39 6.39 6.39 9.53 9.53 9.53 9.53], (62,), float32)","CPG_RL","999110","17.406110763549805"
"CPG_test_with_psi_limited_122022205602","15741","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000002061E195A60>","TEST","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -9.53 -9.53 -9.53 -9.53], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01 3.01 3.01 3.01 3.01 155 155 155 155 6.39 6.39 6.39 6.39 28.4 28.4 28.4 28.4 6.39 6.39 6.39 6.39 9.53 9.53 9.53 9.53], (62,), float32)","CPG_RL","997730","15.043940544128418"
"CPG_test_with_psi_limited_122022205313","139","SAC","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001CEA5904A60>","TEST","Box([-0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -1.01 -1.01 -1.01 -1.01 -30 -30 -2.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -9.53 -9.53 -9.53 -9.53], [0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 1.01 1.01 1.01 1.01 30 30 2.01 1.11 1.11 1.11 1.11 5.01 5.01 5.01 3.01 3.01 3.01 3.01 155 155 155 155 6.39 6.39 6.39 6.39 28.4 28.4 28.4 28.4 6.39 6.39 6.39 6.39 9.53 9.53 9.53 9.53], (62,), float32)","CPG_RL","5160","1.152902603149414"
"CARTESIAN_PD_PPO_cartesian_TF_rwd_old_scaling_slow_test_env121922235419","9568","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001D1304F3760>","CARTESIAN_RWD","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","1002050","58.963409423828125"
"CARTESIAN_PD_PPO_cartesian_rwd_old_scaling_slow_test_env121922224615","9508","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000001A018973760>","CARTESIAN_RWD","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","1002050","66.15133666992188"
"CARTESIAN_PD_PPO_cartesian_rwd_old_scaling_slow_121922211541","7984","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x0000021EE5A3D6A0>","CARTESIAN_RWD","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","1002050","257.05657958984375"
"CARTESIAN_PD_PPO_TF_cartesian_rwd_old_scaling_test_env_121922172420","11734","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x0000018C8B993760>","CARTESIAN_RWD","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","1002050","41.10855865478515"
"CARTESIAN_PD_cartesian_rwd_old_scaling_121922150148","7930","PPO","<stable_baselines3.common.vec_env.vec_normalize.VecNormalize object at 0x000002585567D6A0>","CARTESIAN_RWD","Box([-19 -19 -19 -0.11 -0.11 -0.11 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -0.21 0.375 -1.98 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -33.5 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -5.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01 -1.01], [19 19 19 0.11 0.11 0.11 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 0.21 1.2 -1.16 21 21 21 21 21 21 21 21 21 21 21 21 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 33.5 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 1.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 5.01 1.01 1.01 1.01 1.01 400 400 400 400], (78,), float32)","LR_COURSE_OBS","1002050","134.91226196289062"
